#gene	DOGBOX_motif	SUBBOX_motif	SPRYSEC(Y/N)	Secreted(Y/n)	annotation	GH_domain	duplication_type	up_J2_v_14dpi	up_J2_v_egg	Up_14_vs_J2	 Up_14_vs_EGG	up_male_vs_dpi14	upregulated_LOG2_FDR:p<0.001
GPALN_015632	3	-	YES	YES	GPALN_015632-T1 RBP-1 protein	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_016298	1	-	-	YES	GPALN_016298-T1 putative polyubiquitin	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_016343	-	1	-	YES	GPALN_016343-T1 ubiquitin-related domain-containing protein	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_016360	8	-	-	YES	GPALN_016360-T2 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_016380	-	-	-	YES	"GPALN_016380-T1 ubiquitin, putative"	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002204	3	-	-	YES	GPALN_002204-T1 glutathione synthase	-	proximal	-	up_j2_v_egg	Up_14dpi_vs_J2	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_EGG_Gp_dpi28_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_EGG_Gp_dpi35_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002370	4	-	-	YES	GPALN_002370-T1 ---NA---	-	dispersed	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002666	4	-	-	YES	GPALN_002666-T1 esophageal gland-localized secretory protein 17	-	singleton	-	up_j2_v_egg	Up_14dpi_vs_J2	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_EGG_Gp_dpi28_UP; dpi28_vs_Gp_J2_Gp_dpi28_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_EGG_Gp_dpi35_UP; dpi35_vs_Gp_J2_Gp_dpi35_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_002991	4	-	-	YES	GPALN_002991-T1 cysteine-rich protein	-	dispersed	-	up_j2_v_egg	-	-	-	dpi21_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_003997	4	-	-	YES	GPALN_003997-T1 ---NA---	-	dispersed	-	up_j2_v_egg	-	-	-	dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_004009	1	-	-	YES	GPALN_004009-T1 LysM Domain (peptidoglycan binding) protein	CAZy:GH18; 	tandem	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi35_vs_Gp_dpi7_Gp_dpi7_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_005554	3	-	-	YES	GPALN_005554-T1 ---NA---	-	singleton	-	up_j2_v_egg	-	-	-	dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007648	1	-	-	YES	GPALN_007648-T1 putative gland protein G23G11	-	tandem	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_012415	3	-	-	YES	GPALN_012415-T1 ---NA---	-	tandem	-	up_j2_v_egg	Up_14dpi_vs_J2	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_dpi7_Gp_dpi14_UP; dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_dpi7_Gp_dpi21_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_EGG_Gp_dpi28_UP; dpi28_vs_Gp_J2_Gp_dpi28_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_EGG_Gp_dpi35_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_013387	2	-	-	YES	"GPALN_013387-T1 glycosyl hydrolase, family 18"	-	WGD/segmental	-	up_j2_v_egg	-	-	-	dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP; EGG_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_MALE_Gp_MALE_UP; J2_vs_Gp_MALE_Gp_MALE_UP
GPALN_013545	4	-	-	YES	GPALN_013545-T1 ---NA---	-	singleton	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014713	-	-	-	YES	GPALN_014713-T1 SCP-like protein	-	dispersed	-	up_j2_v_egg	Up_14dpi_vs_J2	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_dpi14_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_015272	3	-	-	YES	GPALN_015272-T1 ---NA---	-	WGD/segmental	-	up_j2_v_egg	-	-	-	dpi28_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015314	7	-	YES	YES	GPALN_015314-T1 RBP-1 protein	-	WGD/segmental	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_015605	-	-	-	YES	GPALN_015605-T1 expansin B3	-	dispersed	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_dpi7_Gp_dpi14_UP; dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_dpi7_Gp_dpi21_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi28_vs_Gp_dpi7_Gp_dpi28_UP; dpi28_vs_Gp_EGG_Gp_dpi28_UP; dpi35_vs_Gp_dpi7_Gp_dpi35_UP; dpi35_vs_Gp_EGG_Gp_dpi35_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP; EGG_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_MALE_Gp_MALE_UP; J2_vs_Gp_MALE_Gp_MALE_UP
GPALN_015654	1	-	-	YES	GPALN_015654-T2 Glutathione synthetase	-	dispersed	-	up_j2_v_egg	-	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_002028	4	-	-	YES	GPALN_002028-T1 immunoglobulin I-set domain-containing protein	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_002288	3	-	YES	YES	GPALN_002288-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_002969	6	-	-	YES	GPALN_002969-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_dpi7_Gp_dpi7_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_003083	3	-	-	YES	GPALN_003083-T1 ---NA---	-	proximal	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_dpi28_Gp_dpi28_UP; dpi14_vs_Gp_dpi35_Gp_dpi35_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP
GPALN_003416	14	-	-	YES	GPALN_003416-T3 ---NA---	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_003852	1	-	-	YES	GPALN_003852-T1 putative effector protein	-	proximal	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_EGG_Gp_EGG_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_004011	-	-	-	YES	GPALN_004011-T1 Zinc metalloproteinase nas-13	-	proximal	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP
GPALN_004265	10	-	YES	YES	GPALN_004265-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_004480	4	-	-	YES	GPALN_004480-T1 ---NA---	-	singleton	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP
GPALN_004881	4	-	YES	YES	GPALN_004881-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_004901	3	-	-	YES	GPALN_004901-T1 BTB/POZ domain-containing protein 6-B-like	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_005017	3	-	-	YES	GPALN_005017-T1 GLutamate Receptor family (AMPA)	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_005038	3	-	-	YES	GPALN_005038-T1 ---NA---	-	singleton	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP
GPALN_006124	6	-	-	YES	GPALN_006124-T1 Rap guanine nucleotide exchange factor 1	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_EGG_Gp_EGG_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_007079	-	-	-	YES	GPALN_007079-T1 glycoside hydrolase family 5 protein	CAZy:GH5_2; CAZy:GH5; CAZy:GH5_26; 	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_007178	3	-	-	YES	GPALN_007178-T1 ---NA---	-	tandem	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009323	3	-	-	YES	GPALN_009323-T1 ---NA---	-	singleton	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_010231	6	-	YES	YES	GPALN_010231-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_010636	5	-	-	YES	GPALN_010636-T1 EF hand	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_EGG_Gp_EGG_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_011715	3	-	-	YES	GPALN_011715-T1 ---NA---	-	tandem	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_011857	1	-	-	YES	GPALN_011857-T1 LysM Domain (peptidoglycan binding) protein	CAZy:GH18; 	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP
GPALN_012062	9	-	YES	YES	GPALN_012062-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014261	3	-	-	YES	GPALN_014261-T1 BTB/POZ domain-containing protein 2	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014271	7	-	YES	YES	GPALN_014271-T1 BTB/POZ domain-containing protein 6-B-like	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_014665	4	-	-	YES	GPALN_014665-T1 ---NA---	-	singleton	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP
GPALN_014857	7	-	-	YES	GPALN_014857-T1 ---NA---	-	proximal	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015013	3	-	YES	YES	GPALN_015013-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP
GPALN_015100	3	-	-	YES	GPALN_015100-T1 BTB/POZ domain-containing protein 2	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015116	6	-	-	YES	GPALN_015116-T1 BTB/POZ domain-containing protein 2	-	WGD/segmental	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015172	1	-	-	YES	GPALN_015172-T1 putative effector protein	-	proximal	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_015218	3	-	-	YES	GPALN_015218-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	-	-	-	-	dpi14_vs_Gp_dpi21_Gp_dpi21_UP; dpi14_vs_Gp_dpi28_Gp_dpi28_UP; dpi14_vs_Gp_dpi35_Gp_dpi35_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_dpi7_Gp_dpi21_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi28_vs_Gp_dpi7_Gp_dpi28_UP; dpi28_vs_Gp_EGG_Gp_dpi28_UP; dpi28_vs_Gp_J2_Gp_dpi28_UP; dpi28_vs_Gp_MALE_Gp_dpi28_UP; dpi35_vs_Gp_dpi7_Gp_dpi35_UP; dpi35_vs_Gp_EGG_Gp_dpi35_UP; dpi35_vs_Gp_J2_Gp_dpi35_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP
GPALN_000707	3	-	-	YES	GPALN_000707-T1 Calycin-like domain and Calycin domain-containing protein	-	dispersed	-	-	Up_14dpi_vs_J2	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_dpi14_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_EGG_Gp_dpi21_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi28_vs_Gp_EGG_Gp_dpi28_UP; dpi28_vs_Gp_J2_Gp_dpi28_UP; dpi35_vs_Gp_EGG_Gp_dpi35_UP; dpi35_vs_Gp_J2_Gp_dpi35_UP
GPALN_001149	3	-	-	YES	GPALN_001149-T1 ---NA---	-	proximal	-	-	Up_14dpi_vs_J2	Up_dpi14_vs_EGG	-	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_dpi21_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_dpi7_UP
